S!R10_2!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R10_3!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R10_4!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R10_5!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R10_6!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R10_7!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R10_8!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R10_9!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R12_1!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R12_2!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R12_3!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R12_4!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R12_5!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R12_6!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R12_7!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R12_8!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R12_9!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R14_1!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R14_2!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R14_3!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R14_4!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R14_5!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R14_6!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R14_7!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R14_8!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R14_9!!!!RSMD1206!!RSMD1206-300K,5%,1206!!
S!R1_1!!!!RSMD1206!!RSMD1206-390K,5%,1206!!
S!R1_2!!!!RSMD1206!!RSMD1206-390K,5%,1206!!
S!R1_3!!!!RSMD1206!!RSMD1206-390K,5%,1206!!
S!R1_4!!!!RSMD1206!!RSMD1206-390K,5%,1206!!
S!R1_5!!!!RSMD1206!!RSMD1206-390K,5%,1206!!
S!R1_6!!!!RSMD1206!!RSMD1206-390K,5%,1206!!
S!R1_7!!!!RSMD1206!!RSMD1206-390K,5%,1206!!
S!R1_8!!!!RSMD1206!!RSMD1206-390K,5%,1206!!
S!R1_9!!!!RSMD1206!!RSMD1206-390K,5%,1206!!
S!R4_1!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R4_2!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R4_3!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R4_4!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R4_5!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R4_6!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R4_7!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R4_8!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R4_9!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R5_1!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R5_2!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R5_3!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R5_4!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R5_5!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R5_6!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R5_7!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R5_8!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R5_9!!!!RSMD1206!!RSMD1206-450K,5%,1206!!
S!R9_1!!!!RSMD1206!!RSMD1206-51,5%,1206!!
S!R9_2!!!!RSMD1206!!RSMD1206-51,5%,1206!!
S!R9_3!!!!RSMD1206!!RSMD1206-51,5%,1206!!
